74,1102,MERALCO MATERIALS PROCESSING MGMT,103-PJ-DO01-13-0074
75,1102,MERALCO JANITORIAL-AREA2,103-PJ-DO01-13-0075
76,1102,MERALCO CASH ACCTG CLERICAL SERV,103-PJ-DO01-13-0076
77,1102,MERALCO ENCODING SERVICES-CRMO,103-PJ-DO01-13-0077
78,1102,MERALCO MANILA METERING SERVICES,103-PJ-DO01-13-0078
79,1102,REPUBLIC SURETY CAR RENTAL,103-PJ-DO01-13-0079
80,1102,MERALCO CLERICAL SERV-PROPERTY ACCTNG,103-PJ-DO01-13-0080
81,1102,RADIUS JANITORIAL SERVICES,103-PJ-DO01-13-0081
82,1102,MERALCO RIZAL METERING SERVICES,103-PJ-DO01-13-0082
83,1102,MERALCO RENTAL OF ONE HYUNDAI STAREX,103-PJ-DO01-13-0083
84,1102,MERALCO POWERGEN MESSENGERIAL,103-PJ-DO01-13-0084
85,1102,MERALCO ENCODING SERV VALENZUELA SECT,103-PJ-DO01-13-0085
86,1102,MERALCO BALINTAWAK JANITORIAL SERV,103-PJ-DO01-13-0086
87,1102,MERALCO VALENZUELA JANITORIAL SERV,103-PJ-DO01-13-0087
88,1102,MERALCO FITNESS CENTER MAINT,103-PJ-DO01-13-0088
89,1102,MERALCO POWERGEN CAR RENTAL,103-PJ-DO01-13-0089
90,1102,MERALCO TRAINING FACILITIES ADMIN SERV,103-PJ-DO01-13-0090
91,1102,MBI CAR RENTAL,103-PJ-DO01-13-0091
92,1102,OHGSD SPECIAL PROJECTS,103-PJ-DO01-13-0092
93,1102,MERALCO POWERGEN JANITORIAL SERV,103-PJ-DO01-13-0093
94,1102,MIESCOR TRADING,103-PJ-DO01-13-0094
95,1102,MERALCO MEDDS ENCODING SERV,103-PJ-DO01-13-0095
96,1102,MERALCO ENERGY CAR RENTAL,103-PJ-DO01-13-0096
97,1102,PLDT-DAGUPAN,103-PJ-DO01-13-0097
98,1102,REDONDO PENINSULA JANITORIAL SERV,103-PJ-DO01-13-0098
99,1102,MERALCO MALABON JANITORIAL SERV,103-PJ-DO01-13-0099
100,1102,MERALCO BALIUAG JANITORIAL SERV,103-PJ-DO01-13-0100
101,1102,MERALCO VALENZUELA ENCODING SERV,103-PJ-DO01-13-0101
102,1102,MERALCO DASMARINAS JANITORIAL SERV,103-PJ-DO01-13-0102
103,1102,MERALCO SAN PABLO JANITORIAL SERV,103-PJ-DO01-13-0103
104,1102,MERALCO PLARIDEL ENODING SERV,103-PJ-DO01-13-0104
105,1102,MERALCO STA ROSA JANITORIAL SERV,103-PJ-DO01-13-0105
106,1102,MERALCO CENTRAL BUSS AREA ENCODING SER,103-PJ-DO01-13-0106
107,1102,PLDT-RCB RECTIFIER ROOM,103-PJ-DO01-13-0107
108,1102,ABC 5 ANTIPOLO TRANSMITTER ROLL OUT,103-PJ-DO01-13-0108
109,1102,MERALCO VALENZUELA METERING SERV,103-PJ-DO01-13-0109
110,1102,MWCI SIRUNA WAREHOUSING SERV,103-PJ-DO01-13-0110
111,1102,ABC TV-5 BATANGAS CIVILWORKS,103-PJ-DO01-13-0111
112,1102,MWCI TAGUIG WATER SYSTEM OPERATION,103-PJ-DO01-13-0112
113,1102,MWCI 21ST PUMPING STATION OPERATION,103-PJ-DO01-13-0113
114,1102,LAS PINAS BUSINESS CENTER ACU INST,103-PJ-DO01-13-0114
115,1102,MERALCO SAN JOAQUIN ENCODING SERV,103-PJ-DO01-13-0115
116,1102,PLDT JUPITER FTTH & CEN ROOM,103-PJ-DO01-13-0116
117,1102,REDONDO UTILITY SERVICES -RBC,103-PJ-DO01-13-0117
118,1102,MWCI SAN JUAN WAREHOUSING  SERV,103-PJ-DO01-13-0118
119,1102,TV5 Q4-NET 1  MEDIASCAPE OFFICE,103-PJ-DO01-13-0119
120,1102,RADIUS TELECOM TELEMARKETING SERV,103-PJ-DO01-13-0120
121,1102,MERALCO REHAB OFSTORES-MANILA SECTOR,103-PJ-DO01-13-0121
122,1102,RADIUS MESSENGERIAL SERVICES,103-PJ-DO01-13-0122
123,1102,MIESCOR MESSENGERIAL SERVICES,103-PJ-DO01-13-0123
124,1102,"REPLACEMENT OF 5TR ACU, 220V",103-PJ-DO01-13-0124
125,1102,REDONDO MESSENGERIALSERVICES,103-PJ-DO01-13-0125
126,1102,MERALCO REHABILITATION OF TELECOM TOWER,103-PJ-DO01-13-0126
